ACTID,FID,ISLEADING,GRADE
1,1,Y,81
2,1,Y,72
3,1,Y,84
4,1,Y,64
5,2,Y,67
6,2,Y,84
7,2,Y,49
8,2,Y,88
9,3,Y,92
10,3,Y,73
10,4,Y,73
11,3,Y,67
11,4,Y,67
12,3,N,80
12,4,N,80
13,3,N,62
14,3,N,83
14,4,N,83
15,7,Y,91
16,7,Y,78
17,8,Y,90
17,9,Y,90
18,8,Y,85
18,9,Y,85
19,8,Y,92
19,9,Y,92
20,10,Y,78
20,11,Y,70
21,11,Y,85
22,10,Y,75
ACTID,FID,ISLEADING,GRADE
1,1,Y,81
2,1,Y,72
3,1,Y,84
4,1,Y,64
5,2,Y,67
6,2,Y,84
7,2,Y,49
8,2,Y,88
9,3,Y,92
10,3,Y,73
10,4,Y,73
11,3,Y,67
11,4,Y,67
12,3,N,80
12,4,N,80
13,3,N,62
14,3,N,83
14,4,N,83
15,7,Y,91
16,7,Y,78
17,8,Y,90
17,9,Y,90
18,8,Y,85
18,9,Y,85
19,8,Y,92
19,9,Y,92
20,10,Y,78
20,11,Y,70
21,11,Y,85
22,10,Y,75
