FID,TID,PRICE,YEAR,MONTH
1,1,50,2018,2
1,2,40,2018,2
1,3,30,2018,2
1,4,50,2018,2
1,5,70,2018,2
1,6,80,2018,2
1,7,80,2018,2
1,8,70,2018,2
1,9,60,2018,2
1,10,80,2018,2
1,11,60,2018,2
1,12,70,2018,2
1,13,30,2018,2
1,14,30,2018,2
1,15,50,2018,2
1,16,60,2018,2
1,17,80,2018,2
1,18,80,2018,2
1,19,30,2018,2
1,20,50,2018,2
1,21,70,2018,2
1,22,50,2018,2
1,23,60,2018,2
1,24,50,2018,2
1,25,60,2018,2
1,26,40,2018,2
1,27,50,2018,2
1,28,40,2018,2
1,29,40,2018,2
1,30,70,2018,2
1,31,60,2018,2
1,32,60,2018,2
1,33,30,2018,2
1,34,70,2018,2
1,35,60,2018,2
1,36,30,2018,2
1,37,50,2018,2
1,38,80,2018,2
1,39,40,2018,2
1,40,50,2018,2
1,41,30,2018,2
1,42,70,2018,2
1,43,80,2018,2
1,44,50,2018,2
1,45,70,2018,2
1,46,50,2018,2
1,47,50,2018,2
1,48,60,2018,2
1,49,80,2018,2
1,50,60,2018,2
1,51,30,2018,2
1,52,40,2018,2
1,53,40,2018,2
1,54,30,2018,2
2,1,80,2018,1
2,2,60,2018,1
2,3,50,2018,1
2,4,50,2018,1
2,5,70,2018,2
2,6,70,2018,1
2,7,40,2018,1
2,8,30,2018,1
2,9,60,2018,1
2,10,30,2018,1
2,11,40,2018,1
2,12,70,2018,1
2,13,50,2018,1
2,14,70,2018,1
2,15,60,2018,1
2,16,70,2018,1
2,17,30,2018,1
2,18,80,2018,1
2,19,50,2018,1
2,20,70,2018,1
2,21,60,2018,1
2,22,30,2018,1
2,23,40,2018,1
2,24,70,2018,1
2,25,70,2018,1
2,26,80,2018,1
2,27,50,2018,1
2,28,80,2018,1
2,29,80,2018,1
2,30,60,2018,1
2,31,80,2018,1
2,32,30,2018,1
2,33,60,2018,1
2,34,70,2018,1
2,35,40,2018,1
2,36,40,2018,1
2,37,50,2018,1
2,38,30,2018,1
2,39,40,2018,1
2,40,60,2018,1
2,41,30,2018,1
2,42,30,2018,1
2,43,80,2018,1
2,44,40,2018,1
2,45,50,2018,1
2,46,60,2018,1
2,47,70,2018,1
2,48,70,2018,1
2,49,40,2018,1
2,50,70,2018,1
2,51,60,2018,1
2,52,60,2018,1
2,53,30,2018,1
2,54,50,2018,1
3,1,40,2018,2
3,2,60,2018,2
3,3,70,2018,2
3,4,60,2018,2
3,5,60,2018,2
3,6,60,2018,2
3,7,60,2018,2
3,8,30,2018,2
3,9,40,2018,2
3,10,40,2018,2
3,11,40,2018,2
3,12,50,2018,2
3,13,50,2018,2
3,14,50,2018,2
3,15,50,2018,2
3,16,80,2018,2
3,17,40,2018,2
3,18,70,2018,2
3,19,70,2018,2
3,20,60,2018,2
3,21,30,2018,2
3,22,30,2018,2
3,23,80,2018,2
3,24,40,2018,2
3,25,40,2018,2
3,26,40,2018,2
3,27,40,2018,2
3,28,70,2018,2
3,29,40,2018,2
3,30,60,2018,2
3,31,80,2018,2
3,32,50,2018,2
3,33,70,2018,2
3,34,50,2018,2
3,35,30,2018,2
3,36,40,2018,2
3,37,60,2018,2
3,38,60,2018,2
3,39,40,2018,2
3,40,50,2018,2
3,41,50,2018,2
3,42,80,2018,2
3,43,40,2018,2
3,44,30,2018,2
3,45,60,2018,2
3,46,40,2018,2
3,47,30,2018,2
3,48,70,2018,2
3,49,50,2018,2
